channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCW6_6NSn7z5ht6qNHFNnMiQ,Kevin Dollabillz,comedy,10383,25,4527888,0,0,0,0,0,0,1,,,,,,"utopia ""big brother"" ""utopia on fox"" ""big brother feeds"" ""big brother cams"" ""reality tv"" dollabillz ""kevin dollabillz"""
UCQmZ9BIYOBSkxL-eqqg5z-g,MarkAngelComedy,comedy,1784823,158,391461023,0,0,0,0,1,0,1,,,,,,"""mark angel comedy"" ""mark angel"" ""comedy skits"" ""funny videos"" ""naija videos"" ""standup comedy"" emanuella ""denilsion igwe"" ""mark ebere"""
UCK1c5CXY57qNYNp-WrEepqA,Ancestral Lineage Media,comedy,0,170,4194502,0,0,0,0,0,0,1,,,,,,vlog politics educational News people
UCpfuFM5cs0ggtkJM2dNbH8w,Comedy Time,comedy,0,512,19567888,1,0,0,0,0,0,0,,,,,,
UCWMZRtU2xRYVkYlUwtsW-xw,Silwala Comedy Club,comedy,10856,34,1329697,1,0,0,0,0,0,0,,,,,,
UC5BcIVRHqDr1kInDOfq_1aA,PsimoesWeb Comedy,comedy,9864,23,8154678,0,0,0,0,0,0,0,,,,,,
UC712q6SZQHe_sz2p5Pm3_yg,Daniel mwakalasi,comedy,89552,95,31072396,0,0,0,0,0,0,1,,,,,,"tanzania ""bongo flava"" sexy sex ""katt williams"" ""kim kardashian"" ""lady gaga"""
UC_arKvtX-6fpsbQwwm43Ecg,Pk mAST,comedy,550612,1178,347275495,0,0,0,0,0,0,1,,,,,,"""PK Mast"" Pakistani Stage Drama"
UCK1cdF6-oYMrrfPkGfXwTmQ,Alissa Violet,vlog,3225988,31,137020633,0,0,0,0,0,0,0,,,,,,"""Alissa Violet"" Family Friends Games Vlogs Daily Challenges Makeup ""Jake Paul"" ""Team 10"" DIY tutorial vlog ""clout gang"" ""logan paul"" adventure funny comedy"
UCtinbF-Q-fVthA0qrFQTgXQ,CaseyNeistat,vlog,9053681,875,2100137203,0,1,1,1,0,0,0,24221,1752806,"1,851",3m,"1,444","""neistat brothers"" hbo nyc casey neistat"
